,,,,,,
,Ticker,mean_ret_annual,vol_annual,sharpe,,
,NVDA,0.6599898167261760,0.5226690260040800,1.2244647853327700,,
,JPM,0.27724747557812600,0.25274437881804600,1.0178168028153100,,
,BRK-B,0.18758204560300000,0.1758531866048560,0.9529656461645940,,
,GOOGL,0.28991207882523800,0.31013888858419900,0.870294209337632,,
,MSFT,0.2175940125156410,0.25926478435745000,0.7621320921209880,,
,META,0.29971841685114900,0.4356327456886600,0.6420968570876440,,
,AAPL,0.2018330468656380,0.2842140817859660,0.6397749390988030,,
,TSLA,0.4110014032809490,0.6129281615542980,0.6379237042876690,,
,V,0.14441599289120700,0.23031946844615500,0.5401887809596680,,
,AMZN,0.11828053197688000,0.35010352318772200,0.2807184888687430,,
